# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.commit.ms,1734991254681000000,1734991314775000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1734991254681000000,1734991314775000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1734991254681000000,1734991314775000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1734991254681000000,1734991314775000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1734991254681000000,1734991314775000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1734991254681000000,1734991314775000000,0
VFS.invertedFileNameIndex.requests,1734991254681000000,1734991314775000000,13
FileNameCache.queries,1734991254681000000,1734991314775000000,5356928
VFS.fileChildByName,1734991254681000000,1734991314775000000,12587
VFS.fileByIdCache.hits,1734991254681000000,1734991314775000000,0
VFS.contentStorage.recordsReadSize,1734991254681000000,1734991314775000000,568660
VFS.contentStorage.recordsRead,1734991254681000000,1734991314775000000,21
VFS.contentStorage.recordsStoredCompressed,1734991254681000000,1734991314775000000,13
VFS.contentStorage.recordsDecompressionTimeUs,1734991254681000000,1734991314775000000,9159
VFS.fileByIdCache.misses,1734991254681000000,1734991314775000000,102
FileNameCache.totalMisses,1734991254681000000,1734991314775000000,36352
VFS.contentStorage.recordsStoredSize,1734991254681000000,1734991314775000000,258747
VFS.contentStorage.recordsUncompressedSize,1734991254681000000,1734991314775000000,583113
VFS.contentStorage.recordsDeduplicated,1734991254681000000,1734991314775000000,0
VFS.contentStorage.recordsReadDecompressed,1734991254681000000,1734991314775000000,12
VFS.contentStorage.recordsStored,1734991254681000000,1734991314775000000,21
StorageLockContext.competingThreads.max,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1734991254681000000,1734991314775000000,0
DirectByteBufferAllocator.disposed,1734991254681000000,1734991314775000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1734991254681000000,1734991314775000000,3692828
StorageLockContext.competingThreads.avg,1734991254681000000,1734991314775000000,0.0
FilePageCacheLockFree.housekeeperTimeSpentMs,1734991254681000000,1734991314775000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1734991254681000000,1734991314775000000,1048576
FilePageCacheLockFree.heapBytesInUse,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalPagesAllocated,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1734991254681000000,1734991314775000000,0
StreamlinedBlobStorage.recordsAllocated,1734991254681000000,1734991314775000000,67473
FilePageCache.totalPageDisposalsUs,1734991254681000000,1734991314775000000,1994
MappedFileStorage.totalBytesMapped,1734991254681000000,1734991314775000000,202637312
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1734991254681000000,1734991314775000000,503316480
StorageLockContext.competingThreads.90P,1734991254681000000,1734991314775000000,0
FilePageCache.pageLoads,1734991254681000000,1734991314775000000,482
FilePageCacheLockFree.nativeBytesInUse,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1734991254681000000,1734991314775000000,0
FilePageCache.pageHits,1734991254681000000,1734991314775000000,0
FilePageCache.maxRegisteredFiles,1734991254681000000,1734991314775000000,1115
FilePageCache.pageLoadsAboveSizeThreshold,1734991254681000000,1734991314775000000,242
DirectByteBufferAllocator.misses,1734991254681000000,1734991314775000000,480
FilePageCacheLockFree.totalPagesReadMs,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalPagesRequested,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1734991254681000000,1734991314775000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalPagesWritten,1734991254681000000,1734991314775000000,0
FilePageCache.maxCacheSizeInBytes,1734991254681000000,1734991314775000000,502267904
FilePageCache.totalPageLoadsUs,1734991254681000000,1734991314775000000,695044
FilePageCacheLockFree.totalBytesRead,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalBytesRequested,1734991254681000000,1734991314775000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1734991254681000000,1734991314775000000,342132
FilePageCacheLockFree.totalPagesWriteMs,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalPagesHandedOver,1734991254681000000,1734991314775000000,0
StreamlinedBlobStorage.recordsDeleted,1734991254681000000,1734991314775000000,40
FilePageCacheLockFree.housekeeperTurnsDone,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalPagesReclaimed,1734991254681000000,1734991314775000000,0
StreamlinedBlobStorage.recordsRelocated,1734991254681000000,1734991314775000000,0
MappedFileStorage.storages,1734991254681000000,1734991314775000000,16
FilePageCacheLockFree.totalPageAllocationsWaited,1734991254681000000,1734991314775000000,0
DirectByteBufferAllocator.reclaimed,1734991254681000000,1734991314775000000,245
FilePageCache.uncachedFileAccess,1734991254681000000,1734991314775000000,1611
MappedFileStorage.totalPagesMapped,1734991254681000000,1734991314775000000,16
FilePageCache.pageFastCacheHits,1734991254681000000,1734991314775000000,2738140
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1734991254681000000,1734991314775000000,6620474
FilePageCacheLockFree.totalNativeBytesAllocated,1734991254681000000,1734991314775000000,0
FilePageCache.capacityInBytes,1734991254681000000,1734991314775000000,503316478
FilePageCache.disposedBuffers,1734991254681000000,1734991314775000000,245
FilePageCacheLockFree.totalClosedStoragesReclaimed,1734991254681000000,1734991314775000000,0
FilePageCacheLockFree.totalBytesWritten,1734991254681000000,1734991314775000000,0
DirectByteBufferAllocator.hits,1734991254681000000,1734991314775000000,244
lexer.ECMAScript.6.time.ns,1734991254681000000,1734991314775000000,24448161
