Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
EqualsBetweenInconvertibleTypes;Java/Probable bugs;'equals()' between objects of inconvertible types;JAVA;LOCAL;0.01;0.16%;0;27
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.01;0.15%;0;3
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.01;0.15%;0;27
MismatchedQueryAndUpdateOfCollection;Java/Probable bugs;Mismatched query and update of collection;JAVA;LOCAL;0.01;0.15%;1;27
NumericOverflow;Java/Numeric issues;Numeric overflow;JAVA;LOCAL;0.01;0.13%;0;27
MaliciousLibrariesLocal;Security;Malicious dependency;;LOCAL;0.01;0.13%;0;44
LoggingPlaceholderCountMatchesArgumentCount;JVM languages/Logging;Number of placeholders does not match number of arguments in logging call;UAST;LOCAL;0.00;0.13%;0;27
SimplifyOptionalCallChains;Java/Verbose or redundant code constructs;Optional call chain can be simplified;JAVA;LOCAL;0.00;0.11%;0;4
FieldMayBeFinal;Java/Code style issues;Field may be 'final';JAVA;LOCAL;0.00;0.09%;4;5
MethodDoesntCallSuperMethod;Java/Inheritance issues;Method does not call super method;JAVA;LOCAL;0.00;0.09%;0;27
WrapperTypeMayBePrimitive;Java/Performance;Wrapper type may be primitive;JAVA;LOCAL;0.00;0.08%;0;27
InfiniteRecursion;Java/Probable bugs;Infinite recursion;JAVA;LOCAL;0.00;0.08%;0;27
ThrowableNotThrown;Java/Probable bugs;'Throwable' not thrown;JAVA;LOCAL;0.00;0.08%;0;27
KotlinInternalInJava;Kotlin/Java interop issues;Usage of Kotlin internal declarations from Java;JAVA;LOCAL;0.00;0.07%;0;27
ParameterCanBeLocal;Java/Class structure;Value passed as parameter never read;JAVA;LOCAL;0.00;0.07%;0;2
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.00;0.07%;0;2
UnsupportedCharacter;Java/Properties files;Unsupported character;UAST;LOCAL;0.00;0.07%;0;27
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.00;0.06%;0;2
MissingSerialAnnotation;Java/Serialization issues;'@Serial' annotation can be used;JAVA;LOCAL;0.00;0.06%;0;27
FieldCanBeLocal;Java/Class structure;Field can be local;JAVA;LOCAL;0.00;0.06%;0;1
VulnerableLibrariesLocal;Security;Vulnerable declared dependency;;LOCAL;0.00;0.06%;0;44
